_id,x,y,cell,SSID,value
ObjectId(5b472559120ecc0009716986),"[""1"",""1"",""1"",""1"",""1""]","[""19"",""19"",""19"",""19"",""19""]","[""37"",""37"",""37"",""37"",""37""]","[""ciscosb"",""VLSIDESIGN_LAB"",""dlink"",""Connectify-tony"",""D-Link_DIR-524""]","[""-72"",""-76"",""-89"",""-47"",""-86""]"
ObjectId(5b472573120ecc0008b9fb96),"[""2"",""2"",""2"",""2"",""2"",""2""]","[""19"",""19"",""19"",""19"",""19"",""19""]","[""38"",""38"",""38"",""38"",""38"",""38""]","[""ciscosb"",""VLSIDESIGN_LAB"",""dlink"",""Connectify-tony"",""D-Link_DIR-524"",""dlink_pksingh""]","[""-71"",""-75"",""-89"",""-46"",""-89"",""-92""]"
ObjectId(5b47258a120ecc0008b9fb97),"[""1"",""1"",""1"",""1"",""1"",""1""]","[""20"",""20"",""20"",""20"",""20"",""20""]","[""39"",""39"",""39"",""39"",""39"",""39""]","[""ciscosb"",""VLSIDESIGN_LAB"",""dlink"",""Connectify-tony"",""D-Link_DIR-524"",""dlink_pksingh""]","[""-67"",""-76"",""-89"",""-43"",""-89"",""-93""]"
ObjectId(5b4725a1120ecc0008b9fb98),"[""2"",""2"",""2"",""2"",""2"",""2""]","[""20"",""20"",""20"",""20"",""20"",""20""]","[""40"",""40"",""40"",""40"",""40"",""40""]","[""ciscosb"",""VLSIDESIGN_LAB"",""dlink"",""Connectify-tony"",""D-Link_DIR-524"",""dlink_pksingh""]","[""-73"",""-76"",""-89"",""-41"",""-89"",""-93""]"
ObjectId(5b4725b6120ecc0008b9fb99),"[""1"",""1"",""1"",""1"",""1"",""1""]","[""21"",""21"",""21"",""21"",""21"",""21""]","[""41"",""41"",""41"",""41"",""41"",""41""]","[""ciscosb"",""VLSIDESIGN_LAB"",""dlink"",""Connectify-tony"",""D-Link_DIR-524"",""dlink_pksingh""]","[""-69"",""-74"",""-89"",""-44"",""-89"",""-91""]"
ObjectId(5b4725ca120ecc0008b9fb9a),"[""1"",""1"",""1"",""1"",""1""]","[""21"",""21"",""21"",""21"",""21""]","[""42"",""42"",""42"",""42"",""42""]","[""ciscosb"",""VLSIDESIGN_LAB"",""dlink"",""Connectify-tony"",""dlink_pksingh""]","[""-71"",""-79"",""-89"",""-40"",""-91""]"
ObjectId(5b4725de120ecc0009716987),"[""1"",""1"",""1"",""1"",""1"",""1""]","[""22"",""22"",""22"",""22"",""22"",""22""]","[""43"",""43"",""43"",""43"",""43"",""43""]","[""ciscosb"",""VLSIDESIGN_LAB"",""dlink"",""Connectify-tony"",""dlink_pksingh"",""dlink101""]","[""-76"",""-78"",""-89"",""-55"",""-89"",""-90""]"
ObjectId(5b4725f4120ecc0009716988),"[""2"",""2"",""2"",""2"",""2"",""2""]","[""22"",""22"",""22"",""22"",""22"",""22""]","[""44"",""44"",""44"",""44"",""44"",""44""]","[""ciscosb"",""VLSIDESIGN_LAB"",""dlink"",""Connectify-tony"",""dlink_pksingh"",""dlink101""]","[""-73"",""-76"",""-89"",""-47"",""-89"",""-90""]"
ObjectId(5b4725f4120ecc0009716989),"[""2"",""2"",""2"",""2"",""2"",""2""]","[""22"",""22"",""22"",""22"",""22"",""22""]","[""44"",""44"",""44"",""44"",""44"",""44""]","[""ciscosb"",""VLSIDESIGN_LAB"",""dlink"",""Connectify-tony"",""dlink_pksingh"",""dlink101""]","[""-73"",""-76"",""-89"",""-47"",""-89"",""-90""]"
ObjectId(5b47263c120ecc0008b9fb9b),"[""1"",""1"",""1"",""1"",""1"",""1"",""1""]","[""23"",""23"",""23"",""23"",""23"",""23"",""23""]","[""45"",""45"",""45"",""45"",""45"",""45"",""45""]","[""ciscosb"",""VLSIDESIGN_LAB"",""dlink"",""Connectify-tony"",""dlink_pksingh"",""dlink101"",""D-Link_DIR-524""]","[""-70"",""-77"",""-89"",""-51"",""-89"",""-90"",""-91""]"
ObjectId(5b472652120ecc000971698a),"[""2"",""2"",""2"",""2"",""2"",""2""]","[""23"",""23"",""23"",""23"",""23"",""23""]","[""46"",""46"",""46"",""46"",""46"",""46""]","[""ciscosb"",""VLSIDESIGN_LAB"",""dlink"",""Connectify-tony"",""dlink101"",""D-Link_DIR-524""]","[""-75"",""-75"",""-94"",""-49"",""-91"",""-91""]"
ObjectId(5b47266a120ecc000971698b),"[""1"",""1"",""1"",""1"",""1"",""1""]","[""24"",""24"",""24"",""24"",""24"",""24""]","[""47"",""47"",""47"",""47"",""47"",""47""]","[""ciscosb"",""VLSIDESIGN_LAB"",""dlink"",""Connectify-tony"",""dlink101"",""dlink_pksingh""]","[""-74"",""-75"",""-94"",""-45"",""-91"",""-88""]"
ObjectId(5b472680120ecc0008b9fb9c),"[""2"",""2"",""2"",""2"",""2"",""2""]","[""24"",""24"",""24"",""24"",""24"",""24""]","[""48"",""48"",""48"",""48"",""48"",""48""]","[""ciscosb"",""VLSIDESIGN_LAB"",""dlink"",""Connectify-tony"",""dlink101"",""dlink_pksingh""]","[""-75"",""-77"",""-94"",""-53"",""-91"",""-88""]"
ObjectId(5b472696120ecc0008b9fb9d),"[""1"",""1"",""1"",""1"",""1"",""1"",""1""]","[""25"",""25"",""25"",""25"",""25"",""25"",""25""]","[""49"",""49"",""49"",""49"",""49"",""49"",""49""]","[""ciscosb"",""VLSIDESIGN_LAB"",""dlink"",""Connectify-tony"",""dlink101"",""dlink_pksingh"",""Connectify-asia""]","[""-75"",""-77"",""-94"",""-59"",""-91"",""-88"",""-92""]"
ObjectId(5b4726b1120ecc000971698c),"[""1"",""1"",""1"",""1"",""1""]","[""25"",""25"",""25"",""25"",""25""]","[""50"",""50"",""50"",""50"",""50""]","[""ciscosb"",""VLSIDESIGN_LAB"",""Connectify-tony"",""dlink_pksingh"",""Connectify-asia""]","[""-77"",""-84"",""-55"",""-88"",""-92""]"
ObjectId(5b4726c9120ecc0008b9fb9e),"[""3"",""3"",""3"",""3"",""3"",""3"",""3""]","[""25"",""25"",""25"",""25"",""25"",""25"",""25""]","[""51"",""51"",""51"",""51"",""51"",""51"",""51""]","[""ciscosb"",""VLSIDESIGN_LAB"",""Connectify-tony"",""dlink_pksingh"",""Connectify-asia"",""D-Link_DIR-524"",""dlink""]","[""-76"",""-76"",""-57"",""-89"",""-92"",""-88"",""-93""]"
ObjectId(5b4726e6120ecc000971698d),"[""2"",""2"",""2"",""2"",""2"",""2"",""2""]","[""52"",""52"",""52"",""52"",""52"",""52"",""52""]","[""52"",""52"",""52"",""52"",""52"",""52"",""52""]","[""ciscosb"",""VLSIDESIGN_LAB"",""Connectify-tony"",""dlink_pksingh"",""D-Link_DIR-524"",""dlink"",""dlink101""]","[""-78"",""-80"",""-55"",""-89"",""-88"",""-91"",""-93""]"
